Comment,Designator,Footprint,LCSC Part #
10u,"C1,C2,C6,C8,C14,C16,C18,C20,C23",C_0805_2012Metric,C15850
1u,C4,C_0402_1005Metric,C52923
22u,"C5,C9,C21,C22",C_0805_2012Metric,C45783
100n,"C7,C13,C15,C17,C19,C24",C_0402_1005Metric,C1525
100u,CB1,CP_EIA-3528-21_Kemet-B,C7196
3A/6A PTC,F1,Fuse_1812_4532Metric,C20627123
USB-C 16P,J1,USB-C-SMD_TYPE-C-16PIN-2MD-073,C2765186
JST-PH 2P batt,J2,CONN-SMD_P2.00_S2B-PH-SM4-TB-LF-SN,C295747
Motor A GH2,"J3,J4,J5,J6",JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,C3029368
Optical flow + IMU GH10,J7,JST_GH_BM10B-GHS-TBT_1x10-1MP_P1.25mm_Vertical,C3029376
Servo 1 GH1.25 3P side-entry,"J10,J11",JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,C3029378
1uH 4.5A,L1,L_1008_2520Metric,C5832356
2.2u,L2,IND-SMD_L4.4-W4.2,C408335
SI2333,"Q1,Q2,Q3",SOT-23,C344008
5k1 Rd,"R1,R2",R_0402_1005Metric,C25905
10k,"R3,R18",R_0402_1005Metric,C25744
100k,"R4,R9,R10",R_0402_1005Metric,C25741
1k24,R5,R_0402_1005Metric,C274889
2k,R6,R_0402_1005Metric,C4109
47k,R7,R_0402_1005Metric,C25792
1M,"R8,R16",R_0402_1005Metric,C26083
180k,R17,R_0402_1005Metric,C25760
0R5,"R19,R20,R21,R22",R_0603_1608Metric,C2934253
10k B3950,RT1,R_0402_1005Metric,C95939
ETA6003Q3Q,U1,QFN-16_L3.0-W3.0-P0.50-TL-EP1.7-2,C5455585
TPS63020DSJ,U3,VSON-14_L4.0-W3.0-P0.50-BL-EP_TI_DSJ,C15483
USBLC6-2SC6,U5,SOT-23-6,C2687116
DRV8830DGQR,"U6,U7,U8,U9",MSOP-10-1EP_3x3mm_P0.5mm_EP1.68x1.88mm,C127591
