Comment,Designator,Footprint,LCSC Part #
1u,"C1,C2,C3,C4,C9",C_0402_1005Metric,C52923
4.7u,C5,C_0603_1608Metric,C19666
100n,"C6,C7,C8",C_0402_1005Metric,C1525
22p,"C10,C11",C_0603_1608Metric,C1653
Odometry GH10 to Motion J7,J1,JST_GH_BM10B-GHS-TBT_1x10-1MP_P1.25mm_Vertical,C3029376
47k,R1,R_0402_1005Metric,C25792
33k,R2,R_0402_1005Metric,C25779
33R,R3,R_0402_1005Metric,C25105
10k,"R4,R5,R6,R7",R_0402_1005Metric,C25744
AP2127K-ADJ,U1,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,C96343
BNO055,U3,LGA-28_L5.2-W3.8-P0.50-BL,C93216
32.768k,Y1,FC-135R_L3.2-W1.5,C32346
