Comment,Designator,Footprint,LCSC Part #
22u,C1,C_0805_2012Metric,C45783
10u,"C2,C20,C43,C54",C_0805_2012Metric,C15850
100n,"C6,C21,C42,C44,C55",C_0402_1005Metric,C1525
1u,C14,C_0402_1005Metric,C52923
Camera FPC 22P 0.5mm top-contact OV5647 spy (pin k = Pi Zero pin 23-k),J3,FPC-SMD_22P-P0.50_HDGC_0.5K-AS-22PWB,C2911765
ToF GH1.25 6P side-entry (underside),J7,JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,C3029381
LED GH1.25 3P (WS2812 in the ball),J10,CONN-SMD_3P-P1.25_XUNPU_WAFER-GH1.25-3PLB,C3029369
10k,"R7,R8,R9,R14",R_0402_1005Metric,C25744
2.2k,"R11,R12",R_0402_1005Metric,C25879
100R,R13,R_0402_1005Metric,C25076
ZX-QC4545-4.3TP,"SW1,SW2",KEY-SMD_4P-L4.5-W4.5-P3.00-LS6.9,C7470171
MSK12C02,SW3,SW-TH_MSK12C02,C431540
